year,city,avg_wage_year,avg_salary_month,gdp_yi,gdp_per_capita,population_wan,urban_employment_wan,registered_unemployed
2000,上海,18531.0,1544.0,4551.15,,1321.63,745.24,200764.0
2001,上海,21781.18,1815.0,4950.84,37382.0,1327.14,752.26,257219.0
2002,上海,23959.19,1997.0,5408.76,40646.0,1334.23,350.91,287807.0
2003,上海,27304.58,2275.0,6250.81,46718.0,1341.77,342.11,301134.0
2004,上海,29874.49,2490.0,7450.27,55307.0,1352.39,331.15,274283.0
2005,上海,31940.08,2662.0,9154.18,51474.0,1360.26,437.83,275000.0
2006,上海,41188.59,3432.0,10366.37,57695.0,1368.08,332.52,278200.0
2007,上海,49311.11,4109.0,12188.85,66367.0,1378.86,367.26,267800.0
2008,上海,56564.99,4714.0,13698.15,73124.0,1391.04,377.22,266000.0
2009,上海,63548.87,5296.0,15046.45,78989.0,1400.7,385.41,278700.0
2010,上海,71875.36,5990.0,17165.98,76074.0,1412.32,392.87,277300.0
2011,上海,77031.27,6419.0,19195.69,82560.0,1419.4,497.32,273300.0
2012,上海,80190.88,6683.0,20181.72,85373.0,1426.9,555.7,270500.0
2013,上海,91475.15,7623.0,21602.12,90092.0,1432.3,619.0,263700.0
2014,上海,92189.76,7682.0,23567.7,97370.0,1438.7,730.46,256300.0
2015,上海,100966.0,8414.0,25123.45,103796.0,1442.97,722.884,241000.0
2016,上海,120503.0,10042.0,28178.65,116562.0,1450.0,627.776,242600.0
2017,上海,130765.0,10897.0,30632.99,126634.0,1455.0,632.309,220600.0
2018,上海,142983.0,11915.0,32679.87,134982.0,1462.0,640.666,194100.0
2019,上海,160256.0,13355.0,38156.0,157279.0,1469.0,716.058,193400.0
2020,上海,174678.0,14556.0,38701.0,155800.0,,645.562,
2021,上海,196053.0,16338.0,43215.0,173600.0,1493.0,683.075,
2022,上海,,,44653.0,179900.0,1504.0,672.27,
2023,上海,,,47219.0,190300.0,,,
2024,上海,,,53927.0,217100.0,,,
2000,北京,16350.0,1362.0,2478.76,,1107.53,619.27,33221.0
2001,北京,19153.86,1596.0,2845.65,25542.0,1122.3,628.9,50000.0
2002,北京,21854.28,1821.0,3212.71,28449.0,1136.3,679.1,60152.0
2003,北京,25312.37,2109.0,3663.1,32061.0,1148.82,703.28,69589.0
2004,北京,29674.26,2473.0,4283.31,37058.0,1162.89,854.07,64617.0
2005,北京,34190.73,2849.0,6886.31,45444.0,1180.7,878.05,105652.0
2006,北京,40116.73,3343.0,7870.28,50467.0,1197.6,513.79,103986.0
2007,北京,46507.58,3876.0,9353.32,58204.0,1213.26,544.38,106275.0
2008,北京,56327.86,4694.0,10488.05,63029.0,1299.85,570.26,103250.0
2009,北京,58139.89,4845.0,12153.0,70452.0,1245.83,619.35,81550.0
2010,北京,65682.17,5474.0,14113.58,75943.0,1257.8,646.63,77255.0
2011,北京,75834.61,6320.0,16251.93,81658.0,1277.9,685.9,81336.0
2012,北京,85306.02,7109.0,17879.4,87475.0,1297.5,717.4,71982.0
2013,北京,93996.77,7833.0,19500.56,93213.0,1316.3,742.3,68144.0
2014,北京,103400.41,8617.0,21330.83,99995.0,1333.4,755.86,74272.0
2015,北京,113073.0,9423.0,23014.59,106497.0,1345.2,777.345,91593.0
2016,北京,122749.0,10229.0,25669.13,118198.0,1363.0,791.52,91421.0
2017,北京,134994.0,11250.0,28014.94,128994.0,1359.0,812.859,81000.0
2018,北京,149843.0,12487.0,30319.98,140211.0,1376.0,819.302,102400.0
2019,北京,173205.0,14434.0,35371.0,164220.0,1397.0,791.298,93500.0
2020,北京,185026.0,15419.0,36103.0,164889.0,,739.94,
2021,北京,201504.0,16792.0,40270.0,183980.0,1414.0,759.509,
2022,北京,,,41611.0,190313.0,1428.0,747.057,
2023,北京,,,43761.0,200278.0,,,
2024,北京,,,49843.0,228167.0,,,
2000,南京,13913.0,1159.0,1021.3,,544.89,106.62,46787.0
2001,南京,16574.4,1381.0,1150.3,20954.0,553.04,98.67,55795.0
2002,南京,19147.14,1596.0,1297.57,22858.0,563.28,94.2,64613.0
2003,南京,22190.22,1849.0,1576.33,27307.0,572.23,90.95,65400.0
2004,南京,26063.35,2172.0,1910.0,33050.0,583.6,89.39,64413.0
2005,南京,29343.76,2445.0,2411.11,40887.0,595.8,92.78,60486.0
2006,南京,32459.49,2705.0,2773.78,46114.0,607.23,96.44,60106.0
2007,南京,35907.2,2992.0,3283.73,53639.0,617.17,97.49,62784.0
2008,南京,39877.53,3323.0,3775.0,60808.0,624.46,104.13,64641.0
2009,南京,43623.21,3635.0,4230.26,67455.0,629.77,117.66,59401.0
2010,南京,48781.69,4065.0,5130.65,64037.0,632.42,125.64,63550.0
2011,南京,54711.85,4559.0,6145.52,76263.0,636.4,139.31,65304.0
2012,南京,63151.73,5263.0,7201.57,88525.0,638.5,147.4,66332.0
2013,南京,66382.52,5532.0,8011.78,100307.0,643.1,216.1,65960.0
2014,南京,77286.26,6441.0,8820.75,107545.0,648.7,230.0,66532.0
2015,南京,81075.0,6756.0,9720.77,118171.0,653.4,213.097,66189.0
2016,南京,90191.0,7516.0,10503.02,127264.0,663.0,205.19,65428.0
