年份,省份,城市,省份代码,城市代码,胡焕庸线,地区生产总值(万元),人均地区生产总值(元),户籍人口(万人),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元)
2000,北京市,北京市,110000,110000,东南侧,24787600,,1107.53,619.27,,33221,406,6639343,16350
2001,北京市,北京市,110000,110000,东南侧,28456500,25542,1122.3,628.9,,50000,406,7772635,19153.86
2002,北京市,北京市,110000,110000,东南侧,32127100,28449,1136.3,679.1,331221,60152,435,9508796,21854.28
2003,北京市,北京市,110000,110000,东南侧,36631000,32061,1148.82,703.28,424509,69589,434,10989365,25312.37
2004,北京市,北京市,110000,110000,东南侧,42833100,37058,1162.89,854.07,1798441,64617,443,13151038,29674.26
2005,北京市,北京市,110000,110000,东南侧,68863101,45444,1180.7,878.05,1884133,105652,445,15200513,34190.73
2006,北京市,北京市,110000,110000,东南侧,78702835,50467,1197.6,513.79,2203385,103986,450,18054937,40116.73
2007,北京市,北京市,110000,110000,东南侧,93533200,58204,1213.26,544.38,3230710,106275,472,21942743,46507.58
2008,北京市,北京市,110000,110000,东南侧,104880500,63029,1299.85,570.26,3600999,103250,506,28474862,56327.86
2009,北京市,北京市,110000,110000,东南侧,121530000,70452,1245.83,619.35,3933230,81550,555,32271711,58139.89
2010,北京市,北京市,110000,110000,东南侧,141135800,75943,1257.8,646.63,4303573,77255,577,37890732,65682.17
2011,北京市,北京市,110000,110000,东南侧,162519300,81658,1277.9,685.9,2699061,81336,630,47786423,75834.61
2012,北京市,北京市,110000,110000,东南侧,178794000,87475,1297.5,717.4,4777795,71982,663,56579220,85306.02
2013,北京市,北京市,110000,110000,东南侧,195005600,93213,1316.3,742.3,6402778,68144,692,65020386,93996.77
2014,北京市,北京市,110000,110000,东南侧,213308300,99995,1333.4,755.86,8285921,74272,705,72933476,103400.41
2015,北京市,北京市,110000,110000,东南侧,230145900,106497,1345.2,777.345,9517309,91593,727,82252242,113073
2016,北京市,北京市,110000,110000,东南侧,256691300,118198,1363,791.52,3798000,91421,729,90005000,122749
2017,北京市,北京市,110000,110000,东南侧,280149400,128994,1359,812.859,3533000,81000,754,101828000,134994
2018,北京市,北京市,110000,110000,东南侧,303199787,140211,1376,819.302,7503000,102400,772,115628115,149843
2019,北京市,北京市,110000,110000,东南侧,353710000,164220,1397,791.298,5514378,93500,729,126272672,173205
2020,北京市,北京市,110000,110000,东南侧,361030000,164889,,739.94,,,687,126927616,185026
2021,北京市,北京市,110000,110000,东南侧,402700000,183980,1414,759.509,,,709,142832359,201504
2022,北京市,北京市,110000,110000,东南侧,416110000,190313,1428,747.057,,,714,153565189,
2023,北京市,北京市,110000,110000,东南侧,437610000,200278,,,,,,,
2024,北京市,北京市,110000,110000,东南侧,498430000,228167,,,,,,,
2000,天津市,天津市,120000,120000,东南侧,16393600,,912,201.75,,105020,196,2444866,12481
