city,rank,ycsi,avg_salary,avg_rent,rent_income_ratio,job_count,opportunity_score,rent_pressure,life_score,growth_score,commute_score
北京,1,100.0,9170.0,4769.0,0.5200654307524537,5637,0.9846589883874795,0.9774635362411997,0.7033114482471442,0.977898360185495,0.7098830616216476
杭州,2,84.36,6760.0,2778.0,0.4109467455621302,3104,0.4096966399552404,0.6096704865719954,1.0,0.5956624354008594,0.187676696464912
南京,3,78.46,6372.0,2474.0,0.38826114249843063,2807,0.3337743836924802,0.5332068898943935,0.7831944352809658,0.6356946216308805,0.0
广州,4,75.3,8020.0,3536.0,0.44089775561097255,3703,0.625264636780259,0.7106227048591122,0.7462732315774702,0.6152791162422219,0.5339467190727506
上海,5,74.69,9177.0,4834.0,0.5267516617631034,5514,0.987093389296957,1.0,0.4910890012426469,0.8376519238966662,1.0
深圳,6,72.22,7839.0,3430.0,0.43755581069013905,3627,0.6197638481813668,0.6993584185261528,0.7215634434098919,0.579180121707294,0.5440804300130203
青岛,7,64.08,5292.0,1659.0,0.3134920634920635,2001,0.14882298415217143,0.28119187027841225,0.8259251093118152,0.3664644601253728,0.08302732474368489
武汉,8,59.05,5300.0,1738.0,0.3279245283018868,2916,0.26363711381666916,0.32983761997187633,0.47498721906004404,0.5289408987204398,0.15868000768447402
长沙,9,58.62,5596.0,1892.0,0.3380986418870622,2360,0.20667206496298102,0.364130264321887,0.6373639693657429,0.43051188214315994,0.06445001061716621
苏州,10,53.4,6613.0,2700.0,0.40828670799939515,2602,0.36389766538593676,0.6007046222406341,0.5788633685127523,0.5177846752856716,0.3335004010385496
天津,11,45.7,4785.0,1354.0,0.28296760710553814,2221,0.13227107325372622,0.17830680632888485,0.4426870036717519,0.32513659446992743,0.1398390706735951
郑州,12,45.5,4051.0,932.0,0.23006665020982472,1941,0.026188631245787054,0.0,0.448178126525213,0.2581238377679999,0.0636012117059097
西安,13,41.08,3968.0,923.0,0.2326108870967742,1825,0.0,0.008575549110584476,0.40555716044020956,0.2377039119417168,0.022204972764772027
成都,14,34.88,4967.0,1446.0,0.2911214012482384,2819,0.23348015801669775,0.2057898062283792,0.2587848092890674,0.3088954437682533,0.43005380920566494
重庆,15,0.0,4131.0,1219.0,0.2950859356088114,2752,0.1886132464772992,0.21915257888688636,0.0,0.19599002875779528,0.9484583166731163
